"","Vpn.Nr","sz1_1","sz1_2","sz1_3","sz1_4","sz1_5","sz1_6","sz1_7","sz1_8","sz1_9","sz2_1","sz2_2","sz2_3","sz2_4","sz2_5","sz2_6","sz2_7","sz2_8","sz2_9","uni_1","uni_2","uni_3","uni_4","uni_5","uni_6","uni_7","bf_1","bf_2","bf_3","bf_4","bf_5","bf_6","bf_7","bf_8","bf_9","bf_10","bf_11","bf_12","bf_13","bf_14","bf_15","bf_16","bf_17","bf_18","bf_19","bf_20","int_stat","int_it","sw_stat","sw_r","lezu_1","lezu_2","lezu_3","lezu_4","lezu_5","prok_1","prok_2","prok_3","prok_4","prok_5","prok_6","prok_7","prok_8","prok_9","prok_10","berufswunsch","berufswunsch_sonst","nebenjob","abi","geschl","alter","groesse","anz.geschw","bland","erq_1","erq_2","erq_3","erq_4","erq_5","erq_6","erq_7","erq_8","erq_9","erq_10","ros_1","ros_2","ros_3","ros_4","ros_5","ros_6","ros_7","ros_8","ros_9","ros_10","uni_1.f","uni_2.f","uni_3.f","uni_4.f","uni_5.f","uni_6.f","uni_7.f","berufswunsch.f","nebenjob.f","geschl.f","bland.f","prok_2.r","prok_3.r","prok_5.r","prok_7.r","prok_8.r","ros_2.r","ros_5.r","ros_6.r","ros_8.r","ros_9.r","SZ1_INH","SZ1_BED","SZ1_BEL","SZ2_INH","SZ2_BED","SZ2_BEL","BF_EXT","BF_VER","BF_GEW","BF_NEU","BF_OFF","LEZU","PROK","REAP","SUPP","SW"
"36",36,5,1,1,5,1,1,5,1,2,5,1,2,5,1,1,5,1,2,1,2,2,1,2,2,2,3,4,3,3,4,3,3,5,4,2,5,3,5,3,5,3,4,3,2,4,4,2,3,2,7,7,6,7,7,3,2,2,3,4,2,3,4,2,1,5,"Ich wei√ü es noch nicht ",2,2.7,1,22,172,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","sonstiges","nein","weiblich","SH",3,3,1,2,1,NA,NA,NA,NA,NA,5,1,1.33333333333333,5,1,1.66666666666667,3.5,4.5,3.75,2.5,3.5,6.8,2.1,NA,NA,NA
"37",37,4,5,3,4,3,2,4,4,2,4,5,3,4,2,2,4,3,2,1,2,2,1,2,1,2,3,3,4,3,4,4,3,4,4,2,4,3,4,4,2,4,3,4,4,3,3,2,2,3,5,6,6,7,5,3,4,1,4,2,3,3,2,3,4,3,NA,2,1.5,1,20,168,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","ja","Wirtschaftspsychologie","nein","weiblich","HE",1,4,3,2,3,NA,NA,NA,NA,NA,4,4,2.33333333333333,4,3.33333333333333,2.33333333333333,3.75,3,3.5,3,4,5.8,3,NA,NA,NA
"38",38,5,2,2,4,1,1,5,3,2,5,3,2,4,1,2,5,3,3,1,2,2,1,2,2,2,4,5,3,5,3,4,4,5,3,4,5,1,4,2,5,3,5,3,4,4,2,2,2,2,5,5,3,5,4,2,2,1,3,3,2,3,3,2,3,1,NA,2,2.6,1,21,168,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","weiblich","BW",3,4,2,2,2,NA,NA,NA,NA,NA,4.66666666666667,2,1.66666666666667,4.66666666666667,2.33333333333333,2.33333333333333,3.75,5,4,3.5,2.75,4.4,2.5,NA,NA,NA
"39",39,2,5,3,3,3,3,3,4,3,2,5,3,4,3,3,3,5,4,1,2,2,2,2,1,2,3,4,5,3,4,2,5,5,4,2,5,1,3,4,4,2,5,4,3,5,3,2,3,3,5,6,5,4,2,1,4,3,1,4,3,2,2,2,2,3,NA,1,1.3,1,20,190,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","Wirtschaftspsychologie","ja","weiblich","RP",1,2,1,3,3,NA,NA,NA,NA,NA,2.66666666666667,4,3,3,4.33333333333333,3.33333333333333,2.5,4.5,5,2.25,4,4.4,1.9,NA,NA,NA
"40",40,5,3,1,5,1,1,5,1,2,5,2,1,5,1,1,5,1,1,1,2,2,2,2,1,2,4,3,3,3,4,4,4,5,4,3,4,2,3,2,5,2,5,2,3,4,5,3,5,4,5,6,7,7,6,3,1,2,4,3,1,4,3,3,3,4,NA,1,1.9,1,19,182,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","Forschung","ja","weiblich","BW",4,3,2,1,2,NA,NA,NA,NA,NA,5,1.66666666666667,1.33333333333333,5,1.33333333333333,1,3.25,4.5,3.75,2.75,3,6.2,2.6,NA,NA,NA
"41",41,2,2,1,3,2,1,3,1,3,3,2,1,4,1,1,3,1,3,1,2,2,1,2,2,2,2,3,4,4,2,3,2,4,3,5,3,4,2,2,3,4,4,2,5,3,4,2,2,3,2,6,3,4,2,3,3,1,3,4,1,2,4,1,1,4,NA,2,1.6,1,24,164,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Forschung","nein","weiblich","BW",2,4,1,3,1,NA,NA,NA,NA,NA,2.66666666666667,1.66666666666667,1.66666666666667,3.33333333333333,1.33333333333333,1.66666666666667,2.75,3.5,3,4.5,2.25,3.4,2,NA,NA,NA
"42",42,4,2,2,5,2,1,4,1,2,4,2,2,5,2,2,4,1,3,1,2,2,2,2,1,1,3,4,3,5,3,2,3,4,4,4,4,3,3,2,4,3,4,3,4,4,4,4,4,4,5,6,5,6,5,3,2,2,4,2,3,2,4,4,2,3,NA,2,1.7,1,23,166,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","Wirtschaftspsychologie","nein","weiblich","BW",3,3,3,3,1,NA,NA,NA,NA,NA,4.33333333333333,1.66666666666667,1.66666666666667,4.33333333333333,1.66666666666667,2.33333333333333,2.75,4,3.5,4,3,5.4,2.9,NA,NA,NA
"43",43,4,5,3,4,2,1,5,3,3,4,5,3,5,3,1,5,3,3,1,2,2,1,2,1,1,3,4,4,3,4,4,4,4,4,2,4,4,4,3,3,5,4,3,3,4,1,2,2,2,4,5,5,6,4,4,3,1,2,3,1,2,3,4,4,3,NA,1,3.4,1,28,187,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","nein","Wirtschaftspsychologie","ja","weiblich","RP",2,4,2,3,2,NA,NA,NA,NA,NA,4.33333333333333,3.33333333333333,2.33333333333333,4.66666666666667,3.66666666666667,2.33333333333333,4,3.75,4,3,3.5,4.8,2.8,NA,NA,NA
"44",44,4,3,4,4,3,1,5,3,4,4,3,3,5,2,1,4,3,4,1,2,2,2,2,1,1,4,3,3,3,4,2,4,3,4,2,5,2,2,3,3,3,4,3,1,3,3,3,3,3,6,6,7,7,6,4,3,2,4,3,4,3,2,3,3,3,NA,1,1.4,1,22,170,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","Wirtschaftspsychologie","ja","weiblich","RP",2,3,2,2,3,NA,NA,NA,NA,NA,4.33333333333333,3,3,4.33333333333333,2.66666666666667,2.66666666666667,2.75,3.25,3.75,2,3.5,6.4,3,NA,NA,NA
"45",45,5,5,2,4,3,1,5,2,2,5,4,2,4,3,2,5,2,2,1,2,2,2,2,2,2,3,4,4,3,4,2,3,4,4,4,4,3,2,3,4,2,4,4,4,3,4,5,5,5,5,4,5,5,5,2,2,2,3,2,3,3,3,3,3,3,NA,1,1.6,1,23,176,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","Wirtschaftspsychologie","ja","weiblich","BW",3,3,3,2,2,NA,NA,NA,NA,NA,4.66666666666667,3.33333333333333,1.66666666666667,4.66666666666667,3,2,2.25,4,3.5,3.5,3.75,4.8,2.7,NA,NA,NA
"46",46,4,2,2,4,1,1,4,2,3,4,2,1,5,1,1,5,2,2,1,2,2,1,2,2,2,2,4,3,3,3,2,4,4,3,3,4,4,4,3,5,3,4,3,3,4,2,2,2,2,5,5,6,6,5,3,3,2,2,3,2,3,2,3,2,3,NA,2,2,2,23,163,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","nein","m‰nnlich","SL",2,3,2,2,3,NA,NA,NA,NA,NA,4,1.66666666666667,2,4.66666666666667,1.66666666666667,1.33333333333333,2.75,4.25,3.75,3.25,3,5.4,2.4,NA,NA,NA
"47",47,4,1,4,5,1,1,5,2,4,5,1,4,5,1,1,5,1,4,1,1,2,1,2,2,1,2,3,4,3,4,4,4,3,4,3,4,4,4,3,4,4,4,5,5,4,3,2,4,4,3,5,3,7,5,4,3,2,3,3,4,1,3,4,4,4,NA,2,3,1,19,174,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","ja","nein","Forschung","nein","weiblich","NW",2,3,2,4,2,NA,NA,NA,NA,NA,4.66666666666667,1.33333333333333,3,5,1,3,3.5,3.5,4,3.75,4,4.6,3.2,NA,NA,NA
"48",48,4,4,3,4,2,2,5,2,3,4,5,3,4,2,2,5,2,2,1,2,2,2,2,1,2,4,4,4,3,3,3,4,4,4,4,4,4,3,3,4,5,5,3,5,4,3,2,3,4,4,5,5,6,4,3,2,2,2,2,1,3,3,2,1,1,NA,2,1.6,1,24,172,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","klinische Psychologie","nein","weiblich","SL",3,3,3,2,2,NA,NA,NA,NA,NA,4.33333333333333,2.66666666666667,2.66666666666667,4.33333333333333,3,2.33333333333333,3.75,4.25,4,4,3.25,4.8,2.2,NA,NA,NA
"49",49,5,4,2,5,2,2,5,1,2,5,2,1,4,2,1,5,2,2,1,2,2,2,2,1,1,4,5,3,3,5,4,4,4,5,1,4,3,3,5,5,2,4,5,2,4,2,1,1,2,6,7,6,7,4,1,3,2,1,4,1,4,4,2,1,1,NA,2,1.3,2,22,169,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","klinische Psychologie","nein","m‰nnlich","BW",2,3,1,1,1,NA,NA,NA,NA,NA,5,2.33333333333333,2,4.66666666666667,2,1.33333333333333,3.25,4.5,3.75,2.25,5,6,1.4,NA,NA,NA
"50",50,5,5,2,5,3,2,5,3,4,5,3,3,4,2,1,5,3,3,1,2,2,2,2,2,2,3,3,4,3,3,3,4,5,3,3,5,4,3,4,5,3,4,3,4,3,2,4,4,5,4,5,6,6,3,3,3,2,3,3,2,3,3,3,3,1,NA,1,1.2,1,20,184,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","ja","weiblich","BW",2,3,2,2,2,NA,NA,NA,NA,NA,5,3.66666666666667,2.66666666666667,4.66666666666667,2.66666666666667,2.33333333333333,3,4.25,4,3.5,3.25,4.8,2.5,NA,NA,NA
"51",51,4,3,2,4,3,2,4,3,2,4,3,2,4,2,2,4,3,2,1,2,2,1,2,1,1,3,3,3,4,3,2,3,4,3,4,3,4,4,4,4,4,5,3,5,3,3,4,3,3,5,5,5,4,3,3,2,2,3,3,2,2,3,2,3,5,"Dem Interesse folgen. Dieses ist f√ºr einige Themenbereiche gegeben.",2,1.7,2,23,170,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","nein","sonstiges","nein","m‰nnlich","BB",3,3,2,3,2,NA,NA,NA,NA,NA,4,3,2,4,2.66666666666667,2,3.25,4,3,4.25,3.25,4.4,2.6,NA,NA,NA
"52",52,4,4,1,4,3,1,4,2,3,4,4,1,4,2,1,4,2,3,1,2,2,2,2,1,2,2,4,4,3,4,2,4,4,4,4,4,3,2,3,3,2,3,3,4,4,3,2,4,4,6,6,6,6,5,2,3,2,2,3,3,3,2,2,1,3,NA,2,1.6,1,24,169,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","Wirtschaftspsychologie","nein","weiblich","RP",2,3,2,2,3,NA,NA,NA,NA,NA,4,3,1.66666666666667,4,2.66666666666667,1.66666666666667,2,3.5,4,3.5,3.5,5.8,2.2,NA,NA,NA
"53",53,4,3,3,4,3,2,4,3,2,4,3,2,3,2,2,4,3,2,2,2,2,2,2,2,1,2,3,1,4,4,2,2,4,4,4,2,3,2,3,4,3,3,3,2,2,4,5,4,4,2,1,3,3,2,4,2,1,3,1,2,1,2,3,3,4,NA,1,1.7,2,20,172,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ja","ja","ja","ja","ja","ja","nein","Forschung","ja","m‰nnlich","HE",3,4,4,4,3,NA,NA,NA,NA,NA,4,3,2.33333333333333,3.66666666666667,2.66666666666667,2,2.25,3.5,1.75,3.25,3.5,2.2,3.3,NA,NA,NA
"54",54,3,3,2,4,1,2,4,2,3,2,3,3,2,1,4,4,1,3,1,2,2,2,2,1,1,3,4,3,3,4,4,4,3,4,2,5,2,4,3,3,2,4,4,2,4,2,1,2,3,4,5,5,4,3,2,1,3,2,3,1,3,2,3,4,1,NA,1,1.4,1,19,166,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","klinische Psychologie","ja","weiblich","BW",4,2,2,2,3,NA,NA,NA,NA,NA,3.66666666666667,2,2.33333333333333,2.66666666666667,1.66666666666667,3.33333333333333,3.25,3.5,4,2.25,3.75,4.2,2.5,NA,NA,NA
"55",55,4,4,2,4,1,3,4,1,2,4,3,2,4,1,3,4,1,2,1,1,2,1,2,2,2,2,3,2,4,3,2,3,4,3,3,3,4,3,3,3,4,4,4,5,3,2,3,2,5,4,7,4,5,5,2,1,2,3,2,3,3,2,3,3,4,NA,1,1.7,1,25,170,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","ja","ja","Forschung","ja","weiblich","NW",4,3,3,2,3,NA,NA,NA,NA,NA,4,2,2.33333333333333,4,1.66666666666667,2.33333333333333,2.75,3.5,2.75,4,3.25,5,2.9,NA,NA,NA
"56",56,4,4,2,4,2,1,4,3,2,4,2,4,4,2,2,4,2,4,1,1,2,2,2,1,1,3,4,4,5,4,2,4,5,4,5,4,5,2,4,4,4,4,4,5,4,3,2,4,4,6,7,6,7,6,4,1,1,4,2,4,1,3,4,4,1,NA,1,1.8,1,33,162,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","ja","ja","nein","nein","klinische Psychologie","ja","weiblich","SL",4,4,3,4,2,NA,NA,NA,NA,NA,4,3,1.66666666666667,4,2,3.33333333333333,2.75,4.25,4,5,4,6.4,3.7,NA,NA,NA
"57",57,4,5,2,4,4,1,5,5,2,4,5,1,4,4,1,5,4,1,1,2,2,2,2,2,2,4,4,4,2,3,3,4,4,3,2,4,3,4,4,5,2,4,2,5,4,5,4,4,5,5,6,5,6,4,2,3,1,2,3,2,3,2,4,2,1,NA,2,2.6,1,21,170,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","RP",2,4,2,2,3,NA,NA,NA,NA,NA,4.33333333333333,4.66666666666667,1.66666666666667,4.33333333333333,4.33333333333333,1,3.25,4.25,4,3,3,5.2,2.5,NA,NA,NA
"58",58,5,4,1,5,2,2,5,4,1,5,3,1,5,3,1,5,3,1,1,2,2,2,2,1,2,4,5,5,5,4,4,5,5,4,3,5,3,3,4,5,2,4,3,5,5,2,2,3,4,5,5,5,6,4,1,2,2,2,3,2,3,2,2,3,3,NA,1,1.6,1,24,165,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","Wirtschaftspsychologie","ja","weiblich","RP",3,3,2,2,3,NA,NA,NA,NA,NA,5,3.33333333333333,1.33333333333333,5,3,1,3.25,4.75,5,4,3.75,5,2.3,NA,NA,NA
"59",59,4,4,3,4,3,4,3,2,3,4,3,3,4,2,4,4,2,3,1,2,2,2,2,2,2,3,4,5,4,4,2,5,4,4,4,5,3,4,3,4,3,4,3,5,5,3,2,3,4,5,4,5,6,5,2,3,3,2,4,2,3,3,2,1,1,NA,2,1.5,1,20,161,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","RP",2,2,1,2,2,NA,NA,NA,NA,NA,3.66666666666667,3,3.33333333333333,4,2.33333333333333,3.33333333333333,3,4,5,4,3.5,5,1.8,NA,NA,NA
"60",60,4,3,1,4,1,1,4,3,1,4,3,1,5,3,1,4,4,2,1,2,2,2,2,1,1,3,5,5,3,3,4,5,5,3,3,5,2,3,3,4,2,5,3,2,5,5,2,3,3,6,6,6,6,6,2,3,2,1,3,1,4,3,1,2,5,"polizei",1,1.7,1,23,165,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","sonstiges","ja","weiblich","RP",2,3,2,1,2,NA,NA,NA,NA,NA,4,2.33333333333333,1,4.33333333333333,3.33333333333333,1.33333333333333,3,4.75,5,2.5,3,6,1.7,NA,NA,NA
"61",61,4,3,1,5,3,1,4,4,4,4,5,4,5,2,2,5,4,4,1,2,2,1,2,2,2,3,5,4,4,4,3,4,5,3,4,4,3,3,3,5,2,4,3,3,4,1,1,2,1,6,6,6,6,5,3,2,1,3,2,3,2,3,3,3,1,NA,2,1.7,1,19,160,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","weiblich","RP",3,4,3,3,2,NA,NA,NA,NA,NA,4.33333333333333,3.33333333333333,2,4.66666666666667,3.66666666666667,3.33333333333333,2.75,4.75,4,3.5,3.25,5.8,3,NA,NA,NA
"62",62,4,2,2,4,1,1,4,1,1,4,2,1,5,2,1,4,2,1,1,2,2,1,2,2,2,4,4,3,4,4,4,3,3,3,4,4,3,3,3,4,3,3,4,4,3,3,2,3,3,5,5,5,6,7,2,2,2,2,3,1,3,3,2,2,1,NA,2,1.6,1,20,169,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","weiblich","NW",3,3,2,2,2,NA,NA,NA,NA,NA,4,1.33333333333333,1.33333333333333,4.33333333333333,2,1,3.5,3.5,3.25,3.75,3.5,5.6,2.1,NA,NA,NA
"63",63,5,2,4,4,2,1,5,2,3,5,2,4,4,2,3,5,2,3,1,2,2,1,2,1,1,4,5,5,3,3,2,4,4,3,3,5,2,4,4,4,3,5,4,1,4,5,5,4,4,6,7,7,7,6,1,4,4,1,4,1,4,4,1,1,3,NA,1,1.6,1,23,178,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","nein","Wirtschaftspsychologie","ja","weiblich","Ausland",1,1,1,1,1,NA,NA,NA,NA,NA,4.66666666666667,2,2.66666666666667,4.66666666666667,2,3.33333333333333,3.25,4.5,4.5,2.25,3.5,6.6,1,NA,NA,NA
"64",64,5,1,1,5,4,1,5,1,1,5,2,3,4,4,4,4,2,5,1,1,2,2,2,2,2,4,4,2,3,4,4,5,4,4,3,4,2,3,3,4,2,4,3,4,4,4,4,4,4,5,6,5,7,7,2,3,1,2,3,2,3,1,3,1,1,NA,2,1.5,1,21,175,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","BY",2,4,2,2,4,NA,NA,NA,NA,NA,5,2,1,4.33333333333333,2.66666666666667,4,3.25,4,3.75,3,3.5,6,2.4,NA,NA,NA
"65",65,4,2,2,5,2,1,5,2,3,5,3,2,5,2,1,5,2,3,1,2,2,2,2,2,2,5,4,4,4,4,5,4,4,4,3,5,2,4,4,3,3,4,4,5,4,4,3,4,4,6,6,5,6,4,3,2,3,2,4,3,1,2,3,2,3,NA,1,2.1,1,20,169,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","Wirtschaftspsychologie","ja","weiblich","BW",3,2,1,4,3,NA,NA,NA,NA,NA,4.66666666666667,2,2,5,2.33333333333333,2,4.25,3.75,4.25,3.5,4,5.4,2.6,NA,NA,NA
"66",66,4,3,1,5,2,3,4,2,4,5,3,3,4,2,3,4,2,5,1,2,2,1,2,2,2,4,5,3,5,4,3,4,4,3,5,4,3,2,2,4,1,4,2,4,5,2,1,1,1,5,4,5,3,3,1,1,3,3,4,4,2,2,1,1,1,NA,2,1.3,1,26,163,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","weiblich","NW",4,2,1,3,3,NA,NA,NA,NA,NA,4.33333333333333,2.33333333333333,2.66666666666667,4.33333333333333,2.33333333333333,3.66666666666667,2.5,4.25,4,4.25,2.75,4,2.3,NA,NA,NA
"67",67,5,3,1,5,2,1,5,3,2,5,3,2,5,2,2,5,3,2,1,2,2,1,2,2,1,2,3,4,4,4,2,4,4,4,4,5,2,2,3,3,2,4,3,4,4,3,2,3,3,6,6,6,6,5,2,3,3,3,3,2,2,2,3,3,4,NA,1,1.7,1,20,160,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","nein","Forschung","ja","weiblich","BW",2,2,2,3,3,NA,NA,NA,NA,NA,5,2.66666666666667,1.33333333333333,5,2.66666666666667,2,2,3.5,4.25,3.5,3.5,5.8,2.5,NA,NA,NA
"68",68,5,2,3,5,2,1,5,3,3,5,2,2,5,1,1,5,2,3,1,2,2,2,2,2,2,4,4,4,3,3,4,4,4,3,3,4,2,4,3,4,4,4,3,3,4,4,3,3,3,5,6,6,5,4,2,2,3,3,3,1,4,4,3,2,1,NA,2,1.6,1,20,169,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","RP",3,2,2,1,1,NA,NA,NA,NA,NA,5,2.33333333333333,2.33333333333333,5,1.66666666666667,2,4,4,4,2.75,3,5.2,2,NA,NA,NA
"69",69,4,2,2,5,1,2,5,2,2,5,2,2,5,2,1,5,2,2,1,2,2,1,2,2,2,4,5,4,4,3,4,4,5,3,5,4,4,4,3,5,4,5,3,3,4,4,2,3,2,7,7,7,6,7,2,3,3,2,3,3,2,3,3,2,1,NA,2,1.6,1,25,167,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","weiblich","NW",2,2,2,3,2,NA,NA,NA,NA,NA,4.66666666666667,1.66666666666667,2,5,2,1.66666666666667,4,5,4,4,3,6.8,2.3,NA,NA,NA
"70",70,4,3,5,4,3,5,4,2,5,4,2,5,4,3,5,4,3,5,2,2,2,1,2,1,1,2,4,2,4,4,2,5,5,4,4,4,4,2,4,5,4,4,4,4,4,3,2,3,3,5,5,5,7,4,2,4,4,1,4,2,4,3,2,2,3,NA,1,1.7,1,24,168,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ja","ja","ja","nein","ja","nein","nein","Wirtschaftspsychologie","ja","weiblich","RP",1,1,1,1,2,NA,NA,NA,NA,NA,4,2.66666666666667,5,4,2.66666666666667,5,2.5,4.5,3.75,4,4,5.2,1.5,NA,NA,NA
"71",71,5,1,1,5,1,1,5,1,3,5,1,2,5,1,1,5,1,1,1,2,2,2,2,2,1,3,4,5,4,5,4,5,5,5,4,5,3,2,4,5,1,4,4,5,5,3,3,4,4,5,3,6,7,4,1,3,3,2,3,1,3,3,2,3,1,NA,2,1.5,1,21,169,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","nein","klinische Psychologie","nein","weiblich","HE",2,2,2,2,2,NA,NA,NA,NA,NA,5,1,1.66666666666667,5,1,1.33333333333333,2.5,4.5,5,4,4.5,5,1.9,NA,NA,NA
"72",72,4,3,3,5,2,1,4,3,3,4,3,2,5,1,1,5,3,3,1,2,2,1,2,2,2,5,4,5,3,4,4,5,3,4,2,4,2,4,4,3,4,4,3,4,5,4,2,4,3,5,6,5,5,5,1,3,3,2,4,2,3,3,2,1,1,NA,2,2.1,1,23,160,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","weiblich","BW",2,2,1,2,2,NA,NA,NA,NA,NA,4.33333333333333,2.66666666666667,2.33333333333333,4.66666666666667,2.33333333333333,2,4.25,3.5,4.75,2.75,3.75,5.2,1.7,NA,NA,NA
